Date,Channel,AdvertisingSpend,SalesRevenue
2023-01-01,Facebook,1000,1500
2023-01-08,Google,2000,2800
2023-01-15,Instagram,1500,1800
2023-01-22,Email,500,700
2023-01-29,Facebook,1200,1700
2023-02-05,Google,2500,3200
2023-02-12,Instagram,1800,2100
2023-02-19,Email,600,800
2023-02-26,Facebook,1300,1900
2023-03-04,Google,2800,3500
2023-03-11,Instagram,2000,2400
2023-03-18,Email,700,900
2023-03-25,Facebook,1400,2000
2023-04-01,Google,3000,3800
2023-04-08,Instagram,2200,2600
2023-04-15,Email,800,1000
2023-04-22,Facebook,1600,2200
2023-04-29,Google,3200,4000
2023-05-06,Instagram,2400,2800
2023-05-13,Email,900,1100
2023-05-20,Facebook,1800,2500
2023-05-27,Google,3500,4400
2023-06-03,Instagram,2600,3000
2023-06-10,Email,1000,1200
2023-06-17,Facebook,2000,2800
2023-06-24,Google,4000,4800
2023-07-01,Instagram,2800,3300
2023-07-08,Email,1100,1300
2023-07-15,Facebook,2200,3000
2023-07-22,Google,4500,5200
2023-07-29,Instagram,3000,3500
2023-08-05,Email,1200,1400
2023-08-12,Facebook,2400,3200
2023-08-19,Google,5000,5500
2023-08-26,Instagram,3200,3800
2023-09-02,Email,1300,1500
2023-09-09,Facebook,2600,3500
2023-09-16,Google,5500,6000
2023-09-23,Instagram,3400,4000
2023-09-30,Email,1400,1600
2023-10-07,Facebook,2800,3800
2023-10-14,Google,6000,6500
2023-10-21,Instagram,3600,4200
2023-10-28,Email,1500,1700
2023-11-04,Facebook,3000,4000
2023-11-11,Google,6500,7000
2023-11-18,Instagram,3800,4500
2023-11-25,Email,1600,1800
2023-12-02,Facebook,3200,4200
2023-12-09,Google,7000,7500
2023-12-16,Instagram,4000,4800
2023-12-23,Email,1700,1900
